t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,wspd_u,max_filter,50, removing outlier (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/94
,,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS,
# 2010-07-23T00:00:00+00:00,,z_pt_cor,add,-2.6,manually adjusted by bav,
# 2010-07-24T00:00:00+00:00,,z_pt_cor,add,-7.8,manually adjusted by bav,
# 2011-04-01T00:00:00+00:00,,z_pt_cor,add,1.6,manually adjusted by bav,
# 2011-08-24T00:00:00+00:00,,z_pt_cor,add,-2.0,manually adjusted by bav,
# 2013-07-21T00:00:00+00:00,,z_pt_cor,add,-2.0,manually adjusted by bav,
# 2013-07-22T00:00:00+00:00,,z_pt_cor,add,-5.8,manually adjusted by bav,
# 2018-07-31T00:00:00+00:00,,z_pt_cor,add,-8.7,manually adjusted by bav,
,,t_i_.*($),min_filter,-20.0,,
,,gps_alt,max_filter,1200, manually filtered by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/150
,,gps_alt,min_filter,1040, manually filtered by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/150
,,gps_lon,max_filter,49.5, manually filtered by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/150
,,gps_lon,min_filter,49, manually filtered by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/150
,,gps_lat,max_filter,64.6, manually filtered by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/150
,,gps_lat,min_filter,64.4, manually filtered by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/150


