t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,2023-04-01T00:00:00+00:00,z_boom_u,min_filter,2.3,manually adjusted by bav,
,2023-04-01T00:00:00+00:00,z_boom_u,max_filter,4.3,manually adjusted by bav,
,2023-04-01T00:00:00+00:00,z_boom_l,min_filter,1.0,manually adjusted by bav,
,2023-04-01T00:00:00+00:00,z_boom_l,max_filter,3.0,manually adjusted by bav,
2024-12-07T00:00:00+00:00,2025-03-15T00:00:00+00:00,z_boom_u,min_filter, 2,manually adjusted by bav,
2024-12-07T00:00:00+00:00,2025-03-15T00:00:00+00:00,z_boom_u,max_filter, 2.6,manually adjusted by bav,

2023-06-19T00:00:00+00:00,,z_surf_1,add,1.5, mast raise (bav),
2023-06-19T00:00:00+00:00,,z_surf_2,add,1.5, mast raise (bav),
2025-05-11T00:00:00+00:00,,z_surf_1,add,1.5, mast raise (bav),
2025-05-11T00:00:00+00:00,,z_surf_2,add,1.5, mast raise (bav),
2023-06-18T16:40:00+00:00,2025-05-10T12:50:00+00:00,wdir_u,add,-90,Anemometer is rotated

