t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
2022-10-14T18:00:00+00:00,2023-01-01T18:00:00+00:00,z_boom_l,min_filter,1.8,manually adjusted by bav,
,2024-05-22T00:00:00+00:00,z_boom_u,min_filter,2.0,manually adjusted by bav,
,,z_boom_u,max_filter,4.3,manually adjusted by bav,
,2024-05-22T00:00:00+00:00,z_boom_l,min_filter,1.5,manually adjusted by bav,
,,z_boom_l,max_filter,3.0,manually adjusted by bav,

2022-06-17T18:00:00+00:00,,z_surf_1,add,1.0,mast raise (bav),
2022-06-17T18:00:00+00:00,,z_surf_2,add,0.85,mast raise (bav),
2023-06-01T00:00:00+00:00,,z_surf_1,add,1.5,mast raise (bav),
2023-06-01T00:00:00+00:00,,z_surf_2,add,1.5,mast raise (bav),
2025-06-11T18:00:00+00:00,,z_surf_1,add,1.5,mast raise (bav),
2025-06-11T18:00:00+00:00,,z_surf_2,add,1.5,mast raise (bav),

2024-05-22T00:00:00+00:00,2024-09-16T00:00:00+00:00,p_u,min_filter,780,few outliers manually removed by bav,

