t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS,

2011-07-01T00:00:00+00:00, 2012-06-01T00:00:00+00:00,z_stake,max_filter, 2.02,manually adjusted by bav,
2011-10-01T00:00:00+00:00, 2012-06-01T00:00:00+00:00,z_stake,min_filter, 1.91,manually adjusted by bav,

,,t_i_.*($),min_filter,-30.0,,
,,p_u,min_filter,750,,

2012-08-29T00:00:00+00:00,,z_ice_surf,add,-1.47,manually adjusted by bav,
2017-08-05T00:00:00+00:00,,z_ice_surf,add,-12.08,manually adjusted by bav,
2020-07-26T12:00:00+00:00,,z_ice_surf,add,-5.8,manually adjusted by bav,
2021-01-01T00:00:00+00:00,,z_ice_surf,add,3.0,manually adjusted by bav,
2022-01-01T00:00:00+00:00,,z_ice_surf,add,-4.6,manually adjusted by bav,
2022-09-07T00:00:00+00:00,,z_ice_surf,add,-1.0,manually adjusted by bav,
2009-08-13T00:00:00+00:00,,z_surf_2,add,-2.0,manually adjusted by bav,
