t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,2023-06-21T00:00:00+00:00,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS (changed for a mast-type in 2023),
2025-01-01T00:00:00+00:00,,t_i_.*($),min_filter,-35.0,,
2025-01-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,t_i_1,min_filter,-19.0,,
2025-01-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,t_i_2,min_filter,-23.0,,
2025-01-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,t_i_3,min_filter,-26.0,,
2025-01-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,t_i_4,min_filter,-30.0,,

,,gps_alt,min_filter,500,manually adjusted by bav,
,,gps_lon,min_filter,35.4,manually adjusted by bav,

2019-08-04T00:00:00+00:00,2019-11-13T00:00:00+00:00,z_boom_u,max_filter,2.6,manually adjusted by bav,
2019-11-13T00:00:00+00:00,2020-09-01T00:00:00+00:00,z_boom_u,max_filter,2.33,manually adjusted by bav,
2020-09-01T00:00:00+00:00,2021-03-06T00:00:00+00:00,z_boom_u,max_filter,1.93,manually adjusted by bav,
2021-03-06T00:00:00+00:00,2021-04-26T00:00:00+00:00,z_boom_u,max_filter,1.7,manually adjusted by bav,

,2016-06-15T00:00:00+00:00,z_boom_u,min_filter,2.575,manually adjusted by bav,

2017-05-18T00:00:00+00:00,,z_surf_1,add,0.5,manually adjusted by bav,
2018-05-30T00:00:00+00:00,,z_surf_1,add,0.6,manually adjusted by bav,
2019-05-31T00:00:00+00:00,,z_surf_1,add,0.4,manually adjusted by bav,
2023-06-21T00:00:00+00:00,,z_surf_1,add,1.2,manually adjusted by bav,
2023-06-09T15:00:00+00:00,,z_surf_1,add,1.8,manually adjusted by bav,
2024-06-11T18:00:00+00:00,,z_surf_1,add,-1.2,manually adjusted by bav,
2024-06-17T11:00:00+00:00,,z_surf_1,add,1.2,manually adjusted by bav,

2019-05-31T20:00:00+00:00,,z_surf_2,add,0.18,manually adjusted by bav,
2024-06-17T16:00:00+00:00,,z_surf_2,add,3,manually adjusted by bav,

